,0
0,angular_velocity_tail_base_abs_50th
1,angular_velocity_tail_base_w_forward_abs_50th
2,angular_velocity_tail_tip_abs_10th
3,angular_velocity_tail_tip_abs_50th
4,relative_to_hips_angular_velocity_tail_tip_abs_10th
5,relative_to_hips_angular_velocity_tail_tip_abs_50th
6,relative_to_hips_angular_velocity_tail_tip_abs_IQR
7,relative_to_hips_angular_velocity_tail_tip_w_forward_abs_10th
8,relative_to_hips_angular_velocity_tail_tip_w_forward_abs_50th
9,relative_to_hips_angular_velocity_tail_tip_w_forward_abs_90th
10,relative_to_hips_angular_velocity_tail_tip_w_forward_abs_IQR
11,relative_to_neck_radial_velocity_head_tip_w_forward_10th
12,relative_to_neck_radial_velocity_head_tip_w_forward_90th
13,relative_to_tail_base_angular_velocity_tail_tip_abs_50th
14,speed_hips_norm_50th
15,speed_midbody_norm_50th
16,speed_norm_50th
17,speed_tail_base_norm_50th
18,speed_tail_tip_50th
19,speed_tail_tip_norm_50th
