signif_effect_drugs
SY0326
SY0331
SY0380
SY0313
SY1551
SY0358
SY0307
SY0353
SY0354
SY1140
SY0372
SY0386
SY0291
SY1304
SY0376
SY1596
SY0330
SY1104
SY1997
SY1081
SY0860
SY0938
SY2333
SY0929
SY0183
SY0283
SY0641
SY2176
SY0130
SY0274
SY0567
SY1084
SY1189
SY1101
SY0611
SY1194
SY2295
SY0791
SY0292
SY1134
SY0774
SY0600
SY1124
SY1021
SY0280
SY1786
SY1579
SY2353
SY0658
SY0617
SY1339
SY1568
SY1235
SY0988
SY1048
SY1382
SY0724
SY1769
SY1782
SY1793
SY1727
SY1719
SY1713
SY1417
SY0612
SY0622
SY1087
SY1482
SY1840
SY0952
SY0941
SY1344
SY1702
SY0722
SY0718
SY1601
SY1824
SY1776
SY1783
SY1051
SY1392
SY1559
SY1362
SY1391
SY1620
SY1386
SY1321
SY1184
SY1361
SY1676
SY1187
SY1154
SY0983
