,drug_type,y,prediction
532,532,7,2
533,533,7,2
535,535,7,9
536,536,7,9
537,537,7,2
538,538,7,2
540,540,7,6
541,541,7,6
542,542,7,6
543,543,8,2
544,544,8,6
545,545,8,6
546,546,8,6
547,547,8,6
548,548,8,2
549,549,8,2
552,552,8,6
553,553,8,0
554,554,9,6
555,555,9,9
556,556,9,6
557,557,9,9
558,558,9,6
559,559,9,2
561,561,9,9
563,563,9,9
564,564,9,2
565,565,0,9
566,566,1,6
567,567,2,6
568,568,3,0
570,570,5,6
571,571,5,9
573,573,6,2
574,574,7,0
575,575,7,2
577,577,9,0
578,578,0,9
580,580,2,0
582,582,4,9
583,583,5,2
585,585,7,6
586,586,8,6
587,587,8,6
588,588,9,6
589,589,9,0
590,590,0,0
591,591,0,9
592,592,1,6
594,594,3,2
596,596,5,9
597,597,6,0
598,598,7,2
599,599,8,0
600,600,9,9
