,drug_type,y,prediction
393,393,4,2
394,394,4,9
395,395,4,2
397,397,5,2
399,399,5,5
400,400,5,2
401,401,5,2
404,404,5,9
406,406,5,0
407,407,6,5
408,408,6,0
411,411,6,2
412,412,6,0
413,413,6,9
415,415,6,5
416,416,6,5
417,417,7,5
418,418,7,2
421,421,7,5
422,422,7,0
427,427,7,9
428,428,8,9
429,429,8,0
430,430,8,5
431,431,8,0
432,432,8,0
433,433,8,9
435,435,8,2
436,436,8,5
437,437,8,0
438,438,8,9
439,439,9,9
440,440,9,9
441,441,9,0
442,442,9,9
443,443,9,2
444,444,9,5
446,446,9,0
447,447,9,9
448,448,9,5
449,449,9,9
451,451,0,2
452,452,0,5
453,453,0,5
454,454,0,0
455,455,0,5
456,456,0,9
457,457,0,5
458,458,0,9
460,460,0,0
461,461,0,2
464,464,1,9
465,465,1,0
466,466,1,0
469,469,1,0
470,470,1,5
471,471,1,9
473,473,1,0
474,474,2,0
475,475,2,9
476,476,2,2
477,477,2,9
478,478,2,9
479,479,2,2
480,480,2,9
481,481,2,5
482,482,2,0
484,484,2,5
485,485,2,2
486,486,3,9
487,487,3,2
490,490,3,9
491,491,3,9
492,492,3,9
493,493,3,2
494,494,3,5
496,496,3,2
497,497,3,5
498,498,4,2
499,499,4,0
500,500,4,5
501,501,4,5
503,503,4,9
504,504,4,0
505,505,4,0
506,506,4,0
507,507,4,5
510,510,5,9
511,511,5,9
513,513,5,9
515,515,5,2
516,516,5,0
517,517,5,0
518,518,5,2
519,519,5,0
520,520,5,5
522,522,6,0
523,523,6,9
525,525,6,2
526,526,6,9
527,527,6,0
530,530,6,5
531,531,6,9
532,532,7,9
533,533,7,9
535,535,7,5
536,536,7,5
537,537,7,9
538,538,7,9
540,540,7,2
541,541,7,2
542,542,7,2
543,543,8,9
544,544,8,2
545,545,8,2
546,546,8,2
547,547,8,2
548,548,8,9
549,549,8,9
552,552,8,2
553,553,8,0
554,554,9,2
555,555,9,5
556,556,9,2
557,557,9,5
558,558,9,2
559,559,9,9
561,561,9,5
563,563,9,5
564,564,9,9
565,565,0,5
566,566,1,2
567,567,2,2
568,568,3,0
570,570,5,2
571,571,5,5
573,573,6,9
574,574,7,0
575,575,7,9
577,577,9,0
578,578,0,5
580,580,2,0
582,582,4,5
583,583,5,9
585,585,7,2
586,586,8,2
587,587,8,2
588,588,9,2
589,589,9,0
590,590,0,0
591,591,0,5
592,592,1,2
594,594,3,9
596,596,5,5
597,597,6,0
598,598,7,9
599,599,8,0
600,600,9,5
