,cv_score,sample_type,score,fold,key
2,0.9194444444444444,majority,roc_auc,2,256
3,0.9111111111111111,majority,roc_auc,3,256
0,0.6674238124719146,majority,mcc,0,256
1,0.6531972647421809,majority,mcc,1,256
2,0.6327848502189877,majority,mcc,2,256
3,0.6497953851430398,majority,mcc,3,256
0,0.481640625,standard,accuracy,0,128
1,0.4504201680672269,standard,accuracy,1,128
2,0.4211206896551724,standard,accuracy,2,128
3,0.5508620689655173,standard,accuracy,3,128
0,0.46994187588956804,standard,f1,0,128
1,0.4602781241822077,standard,f1,1,128
2,0.4246908173204966,standard,f1,2,128
3,0.5056086935378656,standard,f1,3,128
0,0.8270661301881538,standard,roc_auc,0,128
1,0.8256702969843943,standard,roc_auc,1,128
2,0.8151426714748495,standard,roc_auc,2,128
3,0.8395568067170625,standard,roc_auc,3,128
0,0.43223549715024845,standard,mcc,0,128
1,0.39331298965594486,standard,mcc,1,128
2,0.355527532448543,standard,mcc,2,128
3,0.5090044813621966,standard,mcc,3,128
0,0.6666666666666666,majority,accuracy,0,128
1,0.6666666666666666,majority,accuracy,1,128
2,0.5333333333333333,majority,accuracy,2,128
3,0.6666666666666666,majority,accuracy,3,128
0,0.5666666666666667,majority,f1,0,128
1,0.6233333333333333,majority,f1,1,128
2,0.5333333333333333,majority,f1,2,128
3,0.5833333333333333,majority,f1,3,128
0,0.9046296296296297,majority,roc_auc,0,128
1,0.8888888888888888,majority,roc_auc,1,128
2,0.9111111111111111,majority,roc_auc,2,128
3,0.9277777777777778,majority,roc_auc,3,128
0,0.6674238124719146,majority,mcc,0,128
1,0.6566261453344986,majority,mcc,1,128
2,0.4824181513244218,majority,mcc,2,128
3,0.6497953851430398,majority,mcc,3,128
