angular_velocity_abs_50th_poststim
angular_velocity_abs_90th_bluelight
angular_velocity_abs_90th_poststim
angular_velocity_abs_IQR_bluelight
angular_velocity_head_base_abs_50th_bluelight
angular_velocity_head_base_abs_90th_bluelight
angular_velocity_head_base_abs_IQR_bluelight
angular_velocity_head_base_abs_IQR_poststim
angular_velocity_head_base_w_backward_abs_10th_bluelight
angular_velocity_head_base_w_backward_abs_90th_bluelight
