,0
0,angular_velocity_hips_w_forward_abs_50th
1,angular_velocity_hips_w_forward_abs_90th
2,angular_velocity_tail_base_w_forward_abs_90th
3,curvature_hips_abs_50th
4,curvature_hips_abs_90th
5,curvature_hips_w_forward_abs_50th
6,curvature_mean_hips_abs_50th
7,curvature_mean_hips_abs_90th
8,curvature_mean_hips_w_forward_abs_50th
9,curvature_mean_hips_w_forward_abs_90th
10,curvature_mean_neck_abs_50th
11,curvature_mean_tail_abs_50th
12,curvature_mean_tail_abs_90th
13,curvature_mean_tail_w_forward_abs_50th
14,curvature_mean_tail_w_forward_abs_90th
15,curvature_neck_abs_50th
16,curvature_neck_abs_90th
17,curvature_std_midbody_abs_50th
18,curvature_std_midbody_abs_90th
19,curvature_std_midbody_w_forward_abs_50th
