,0
0,angular_velocity_head_tip_abs_50th
1,angular_velocity_head_tip_abs_90th
2,angular_velocity_head_tip_abs_IQR
3,angular_velocity_head_tip_w_backward_abs_50th
4,angular_velocity_head_tip_w_forward_abs_50th
5,angular_velocity_head_tip_w_forward_abs_90th
6,angular_velocity_head_tip_w_forward_abs_IQR
7,relative_to_head_base_angular_velocity_head_tip_abs_10th
8,relative_to_head_base_angular_velocity_head_tip_abs_50th
9,relative_to_head_base_angular_velocity_head_tip_abs_90th
10,relative_to_head_base_angular_velocity_head_tip_abs_IQR
11,relative_to_head_base_angular_velocity_head_tip_w_backward_abs_50th
12,relative_to_head_base_angular_velocity_head_tip_w_forward_abs_10th
13,relative_to_head_base_angular_velocity_head_tip_w_forward_abs_50th
14,relative_to_head_base_angular_velocity_head_tip_w_forward_abs_90th
15,relative_to_head_base_angular_velocity_head_tip_w_forward_abs_IQR
16,relative_to_head_base_radial_velocity_head_tip_IQR
17,relative_to_head_base_radial_velocity_head_tip_norm_10th
18,relative_to_head_base_radial_velocity_head_tip_norm_90th
19,relative_to_head_base_radial_velocity_head_tip_norm_IQR
