,y,drug_type,drug_dose,prediction,2,3,6,7,9,10,11,13,15,17
0,9,SY1596,100.0,13,0.036863157327240374,0.13204229431509446,0.1035767942280386,0.06746288499757418,0.095065301673484,0.13231022013584684,0.13233566508328823,0.1364709348855162,0.054625854897157176,0.10924689245675989
1,9,SY1596,30.0,3,0.06491939387947185,0.214382250859278,0.051466726134262106,0.06084800641593901,0.061403103458050626,0.05753590902902408,0.11684610536481971,0.1675048097087955,0.06529612145995001,0.13979757369040902
2,9,SY1596,10.0,17,0.07445048385069213,0.11951869565570739,0.10285790853214916,0.05756410796416839,0.09663862326899447,0.12529117931972275,0.10662101509172348,0.09181149270066827,0.06165741701929463,0.1635890765968794
3,9,SY1596,1.0,17,0.09668403918760757,0.11684867220039238,0.07915925076951462,0.06180744632970042,0.07596383810213476,0.12849567624885352,0.13174970283678417,0.10474611181898294,0.06131271596102985,0.14323254654499973
4,9,SY1596,3.0,6,0.011089627040863543,0.11332147942485798,0.15168031655724223,0.07739584607984727,0.10253941073987542,0.10640744294258941,0.14072229742962536,0.12522836602642845,0.05764710676871612,0.1139681069899542
5,9,SY1596,100.0,13,0.062132565073492386,0.12133503939809444,0.10747920169650084,0.06290104825205904,0.10553001084161247,0.11545410681377379,0.10971775283409245,0.14487334323327974,0.05441104687749674,0.1161658849795982
6,9,SY1596,30.0,6,0.014563316271013751,0.13570472636731526,0.20013268438908038,0.08683983110934117,0.1054101602336525,0.0933223747664277,0.12735115927669097,0.10587885794634551,0.052663546082026835,0.07813334355810578
7,9,SY1596,1.0,3,0.017360162463629036,0.17069808222678967,0.1025442733115131,0.07467944433233197,0.12893573757917898,0.08734000973836982,0.10884974554551141,0.1626946732471016,0.047325838769972185,0.0995720327856024
8,9,SY1596,150.0,11,0.048446888220858214,0.14657270547864482,0.07968826623138059,0.08391637078639667,0.08374290136184229,0.08382582055857452,0.15009490533534953,0.11200699064296277,0.07448040762569459,0.13722474375829605
9,9,SY1596,100.0,11,0.01376375888554738,0.12321950394077011,0.13517479381864114,0.11569900770800386,0.10559134251507545,0.06777024391990617,0.14631291854168346,0.13865883537309248,0.05727073431496769,0.09653886098231225
10,9,SY1596,30.0,3,0.009373511560142279,0.16186061014593567,0.12979113351312013,0.0772027680778487,0.11352359898146926,0.07803836076193187,0.15940020522229742,0.0948473765764803,0.049237949589950064,0.12672448557082436
11,9,SY1596,10.0,3,0.06257652494445859,0.16294539639437694,0.12148724809380725,0.061656008322776804,0.09848102759103287,0.07222821233451497,0.1275063479705065,0.1097220941243094,0.0668807810401083,0.11651635918410831
12,9,SY1596,1.0,11,0.02593038324113343,0.13468164512831418,0.12025539879870786,0.08611811062892248,0.10896373287950176,0.09045223292967063,0.13791712157106342,0.1123261547187833,0.06905351423319311,0.11430170587070972
13,9,SY1596,150.0,6,0.012385378749079974,0.13263029245910238,0.20528323534257087,0.07574473530475931,0.13502031416133906,0.08236092986775206,0.1166943671844236,0.0926142318822123,0.04569322157333116,0.10157329347542944
14,9,SY1596,3.0,6,0.008341130488717749,0.1521753590473575,0.201444521486653,0.07098348543875141,0.116315752748905,0.08492573218260785,0.1345961330137648,0.10111082798845379,0.048582809836263695,0.08152424776852549
15,9,SY1596,100.0,13,0.012309896757097523,0.1411571753398865,0.14709350760782616,0.09197284985712437,0.11767719035478831,0.07981022549776627,0.1243061460308398,0.15067805024261363,0.05131876815606447,0.08367619015599279
